code,name,image,sector,created_at,updated_at
BRA,BRAESIDE,media/community_images/BRA.png,SOUTH,2012-09-04 06:00:00.000000-08:18,2012-09-04 06:00:00.000000-08:18
BRD,BRIDGELAND/RIVERSIDE,,CENTRE,2012-09-04 06:00:00.000000-08:19,2012-09-04 06:00:00.000000-08:19
BRE,BRENTWOOD,media/community_images/BRE.png,NORTHWEST,2012-09-04 06:00:00.000000-08:20,2012-09-04 06:00:00.000000-08:20
BRI,BRIDLEWOOD,media/community_images/BRI.png,SOUTH,2012-09-04 06:00:00.000000-08:21,2012-09-04 06:00:00.000000-08:21
BRT,BRITANNIA,media/community_images/BRT.png,CENTRE,2012-09-04 06:00:00.000000-08:22,2012-09-04 06:00:00.000000-08:22
BVD,BELVEDERE,media/community_images/BVD.png,EAST,2012-09-04 06:00:00.000000-08:23,2012-09-04 06:00:00.000000-08:23
BYV,BAYVIEW,media/community_images/BYV.png,SOUTH,2012-09-04 06:00:00.000000-08:24,2012-09-04 06:00:00.000000-08:24
CAM,CAMBRIAN HEIGHTS,media/community_images/CAM.png,CENTRE,2012-09-04 06:00:00.000000-08:25,2012-09-04 06:00:00.000000-08:25
CAN,CANYON MEADOWS,media/community_images/CAN.png,SOUTH,2012-09-04 06:00:00.000000-08:26,2012-09-04 06:00:00.000000-08:26
CAP,CAPITOL HILL,media/community_images/CAP.png,CENTRE,2012-09-04 06:00:00.000000-08:27,2012-09-04 06:00:00.000000-08:27
CAR,CARRINGTON,media/community_images/CAR.png,NORTH,2012-09-04 06:00:00.000000-08:28,2012-09-04 06:00:00.000000-08:28
CAS,CASTLERIDGE,media/community_images/CAS.png,NORTHEAST,2012-09-04 06:00:00.000000-08:29,2012-09-04 06:00:00.000000-08:29
CED,CEDARBRAE,media/community_images/CED.png,SOUTH,2012-09-04 06:00:00.000000-08:30,2012-09-04 06:00:00.000000-08:30
CGR,COUGAR RIDGE,media/community_images/CGR.png,WEST,2012-09-04 06:00:00.000000-08:31,2012-09-04 06:00:00.000000-08:31
CHA,CHAPARRAL,media/community_images/CHA.png,SOUTH,2012-09-04 06:00:00.000000-08:32,2012-09-04 06:00:00.000000-08:32
CHK,CHINOOK PARK,media/community_images/CHK.png,SOUTH,2012-09-04 06:00:00.000000-08:33,2012-09-04 06:00:00.000000-08:33
CHN,CHINATOWN,media/community_images/CHN.png,CENTRE,2012-09-04 06:00:00.000000-08:34,2012-09-04 06:00:00.000000-08:34
CHR,CHRISTIE PARK,media/community_images/CHR.png,WEST,2012-09-04 06:00:00.000000-08:35,2012-09-04 06:00:00.000000-08:35
CHV,COUNTRY HILLS VILLAGE,media/community_images/CHV.png,NORTH,2012-09-04 06:00:00.000000-08:36,2012-09-04 06:00:00.000000-08:36
CHW,CHARLESWOOD,media/community_images/CHW.png,NORTHWEST,2012-09-04 06:00:00.000000-08:37,2012-09-04 06:00:00.000000-08:37
CIT,CITADEL,media/community_images/CIT.png,NORTHWEST,2012-09-04 06:00:00.000000-08:38,2012-09-04 06:00:00.000000-08:38
CLI,CLIFF BUNGALOW,media/community_images/CLI.png,CENTRE,2012-09-04 06:00:00.000000-08:39,2012-09-04 06:00:00.000000-08:39
CNS,CORNERSTONE,media/community_images/CNS.png,NORTHEAST,2012-09-04 06:00:00.000000-08:40,2012-09-04 06:00:00.000000-08:40
COA,COACH HILL,media/community_images/COA.png,WEST,2012-09-04 06:00:00.000000-08:41,2012-09-04 06:00:00.000000-08:41
COL,COLLINGWOOD,media/community_images/COL.png,NORTHWEST,2012-09-04 06:00:00.000000-08:42,2012-09-04 06:00:00.000000-08:42
COR,CORAL SPRINGS,media/community_images/COR.png,NORTHEAST,2012-09-04 06:00:00.000000-08:43,2012-09-04 06:00:00.000000-08:43
COU,COUNTRY HILLS,media/community_images/COU.png,NORTH,2012-09-04 06:00:00.000000-08:44,2012-09-04 06:00:00.000000-08:44
COV,COVENTRY HILLS,media/community_images/COV.png,NORTH,2012-09-04 06:00:00.000000-08:45,2012-09-04 06:00:00.000000-08:45
CPF,COPPERFIELD,media/community_images/CPF.png,SOUTHEAST,2012-09-04 06:00:00.000000-08:46,2012-09-04 06:00:00.000000-08:46
CRA,CRANSTON,media/community_images/CRA.png,SOUTHEAST,2012-09-04 06:00:00.000000-08:47,2012-09-04 06:00:00.000000-08:47
CRE,CRESCENT HEIGHTS,media/community_images/CRE.png,CENTRE,2012-09-04 06:00:00.000000-08:48,2012-09-04 06:00:00.000000-08:48
CRM,CRESTMONT,media/community_images/CRM.png,WEST,2012-09-04 06:00:00.000000-08:49,2012-09-04 06:00:00.000000-08:49
CSC,CITYSCAPE,media/community_images/CSC.png,NORTHEAST,2012-09-04 06:00:00.000000-08:50,2012-09-04 06:00:00.000000-08:50
CUR,CURRIE BARRACKS,media/community_images/CUR.png,WEST,2012-09-04 06:00:00.000000-08:51,2012-09-04 06:00:00.000000-08:51
DAL,DALHOUSIE,media/community_images/DAL.png,NORTHWEST,2012-09-04 06:00:00.000000-08:52,2012-09-04 06:00:00.000000-08:52
DDG,DOUGLASDALE/GLEN,media/community_images/DDG.png,SOUTHEAST,2012-09-04 06:00:00.000000-08:53,2012-09-04 06:00:00.000000-08:53
DIA,DIAMOND COVE,media/community_images/DIA.png,SOUTH,2012-09-04 06:00:00.000000-08:54,2012-09-04 06:00:00.000000-08:54
DIS,DISCOVERY RIDGE,media/community_images/DIS.png,WEST,2012-09-04 06:00:00.000000-08:55,2012-09-04 06:00:00.000000-08:55
DNC,DOWNTOWN COMMERCIAL CORE,media/community_images/DNC.png,CENTRE,2012-09-04 06:00:00.000000-08:56,2012-09-04 06:00:00.000000-08:56
DNE,DOWNTOWN EAST VILLAGE,media/community_images/DNE.png,CENTRE,2012-09-04 06:00:00.000000-08:57,2012-09-04 06:00:00.000000-08:57
DNW,DOWNTOWN WEST END,media/community_images/DNW.png,CENTRE,2012-09-04 06:00:00.000000-08:58,2012-09-04 06:00:00.000000-08:58
DOV,DOVER,media/community_images/DOV.png,EAST,2012-09-04 06:00:00.000000-08:59,2012-09-04 06:00:00.000000-08:59
DRG,DEER RIDGE,media/community_images/DRG.png,SOUTH,2012-09-04 06:00:00.000000-08:60,2012-09-04 06:00:00.000000-08:60
DRN,DEER RUN,media/community_images/DRN.png,SOUTH,2012-09-04 06:00:00.000000-08:61,2012-09-04 06:00:00.000000-08:61
EAG,EAGLE RIDGE,media/community_images/EAG.png,SOUTH,2012-09-04 06:00:00.000000-08:62,2012-09-04 06:00:00.000000-08:62
EAU,EAU CLAIRE,media/community_images/EAU.png,CENTRE,2012-09-04 06:00:00.000000-08:63,2012-09-04 06:00:00.000000-08:63
EDG,EDGEMONT,media/community_images/EDG.png,NORTHWEST,2012-09-04 06:00:00.000000-08:64,2012-09-04 06:00:00.000000-08:64
EPK,ELBOW PARK,media/community_images/EPK.png,CENTRE,2012-09-04 06:00:00.000000-08:65,2012-09-04 06:00:00.000000-08:65
ERI,ERIN WOODS,media/community_images/ERI.png,EAST,2012-09-04 06:00:00.000000-08:66,2012-09-04 06:00:00.000000-08:66
ERL,ERLTON,media/community_images/ERL.png,CENTRE,2012-09-04 06:00:00.000000-08:67,2012-09-04 06:00:00.000000-08:67
EVE,EVERGREEN,media/community_images/EVE.png,SOUTH,2012-09-04 06:00:00.000000-08:68,2012-09-04 06:00:00.000000-08:68
EVN,EVANSTON,media/community_images/EVN.png,NORTH,2012-09-04 06:00:00.000000-08:69,2012-09-04 06:00:00.000000-08:69
EYA,ELBOYA,media/community_images/EYA.png,CENTRE,2012-09-04 06:00:00.000000-08:70,2012-09-04 06:00:00.000000-08:70
FAI,FAIRVIEW,media/community_images/FAI.png,SOUTH,2012-09-04 06:00:00.000000-08:71,2012-09-04 06:00:00.000000-08:71
FAL,FALCONRIDGE,media/community_images/FAL.png,NORTHEAST,2012-09-04 06:00:00.000000-08:72,2012-09-04 06:00:00.000000-08:72
FHT,FOREST HEIGHTS,media/community_images/FHT.png,EAST,2012-09-04 06:00:00.000000-08:73,2012-09-04 06:00:00.000000-08:73
FLN,FOREST LAWN,media/community_images/FLN.png,EAST,2012-09-04 06:00:00.000000-08:74,2012-09-04 06:00:00.000000-08:74
GAG,GARRISON GREEN,media/community_images/GAG.png,WEST,2012-09-04 06:00:00.000000-08:75,2012-09-04 06:00:00.000000-08:75
GAW,GARRISON WOODS,,CENTRE,2012-09-04 06:00:00.000000-08:76,2012-09-04 06:00:00.000000-08:76
GBK,GLENBROOK,media/community_images/GBK.png,WEST,2012-09-04 06:00:00.000000-08:77,2012-09-04 06:00:00.000000-08:77
GDL,GLENDALE,media/community_images/GDL.png,WEST,2012-09-04 06:00:00.000000-08:78,2012-09-04 06:00:00.000000-08:78
GLA,GLAMORGAN,media/community_images/GLA.png,WEST,2012-09-04 06:00:00.000000-08:79,2012-09-04 06:00:00.000000-08:79
GLR,GLACIER RIDGE,,NORTH,2012-09-04 06:00:00.000000-08:80,2012-09-04 06:00:00.000000-08:80
GRE,GREENWOOD/GREENBRIAR,,NORTHWEST,2012-09-04 06:00:00.000000-08:81,2012-09-04 06:00:00.000000-08:81
GRV,GREENVIEW,media/community_images/GRV.png,CENTRE,2012-09-04 06:00:00.000000-08:82,2012-09-04 06:00:00.000000-08:82
HAM,HAMPTONS,media/community_images/HAM.png,NORTHWEST,2012-09-04 06:00:00.000000-08:83,2012-09-04 06:00:00.000000-08:83
HAR,HARVEST HILLS,media/community_images/HAR.png,NORTH,2012-09-04 06:00:00.000000-08:84,2012-09-04 06:00:00.000000-08:84
HAW,HAWKWOOD,media/community_images/HAW.png,NORTHWEST,2012-09-04 06:00:00.000000-08:85,2012-09-04 06:00:00.000000-08:85
HAY,HAYSBORO,media/community_images/HAY.png,SOUTH,2012-09-04 06:00:00.000000-08:86,2012-09-04 06:00:00.000000-08:86
HID,HIDDEN VALLEY,,NORTH,2012-09-04 06:00:00.000000-08:87,2012-09-04 06:00:00.000000-08:87
HIL,HILLHURST,media/community_images/HIL.png,CENTRE,2012-09-04 06:00:00.000000-08:88,2012-09-04 06:00:00.000000-08:88
HIW,HIGHWOOD,media/community_images/HIW.png,CENTRE,2012-09-04 06:00:00.000000-08:89,2012-09-04 06:00:00.000000-08:89
HKS,HOTCHKISS,,SOUTHEAST,2012-09-04 06:00:00.000000-08:90,2012-09-04 06:00:00.000000-08:90
HOU,HOUNSFIELD HEIGHTS/BRIAR HILL,,CENTRE,2012-09-04 06:00:00.000000-08:91,2012-09-04 06:00:00.000000-08:91
HPK,HIGHLAND PARK,media/community_images/HPK.png,CENTRE,2012-09-04 06:00:00.000000-08:92,2012-09-04 06:00:00.000000-08:92
HSD,HOMESTEAD,,NORTHEAST,2012-09-04 06:00:00.000000-08:93,2012-09-04 06:00:00.000000-08:93
HSN,HASKAYNE,,NORTHWEST,2012-09-04 06:00:00.000000-08:94,2012-09-04 06:00:00.000000-08:94
HUN,HUNTINGTON HILLS,media/community_images/HUN.png,NORTH,2012-09-04 06:00:00.000000-08:95,2012-09-04 06:00:00.000000-08:95
ING,INGLEWOOD,media/community_images/ING.png,CENTRE,2012-09-04 06:00:00.000000-08:96,2012-09-04 06:00:00.000000-08:96
KCA,KINCORA,media/community_images/KCA.png,NORTH,2012-09-04 06:00:00.000000-08:97,2012-09-04 06:00:00.000000-08:97
KEL,KELVIN GROVE,media/community_images/KEL.png,SOUTH,2012-09-04 06:00:00.000000-08:98,2012-09-04 06:00:00.000000-08:98
KIL,KILLARNEY/GLENGARRY,media/community_images/KIL.png,CENTRE,2012-09-04 06:00:00.000000-08:99,2012-09-04 06:00:00.000000-08:99
KIN,KINGSLAND,media/community_images/KIN.png,SOUTH,2012-09-04 06:00:00.000000-08:100,2012-09-04 06:00:00.000000-08:100
KSH,KEYSTONE HILLS,media/community_images/KSH.png,NORTH,2012-09-04 06:00:00.000000-08:101,2012-09-04 06:00:00.000000-08:101
LEB,LEWISBURG,,NORTH,2012-09-04 06:00:00.000000-08:102,2012-09-04 06:00:00.000000-08:102
LEG,LEGACY,media/community_images/LEG.png,SOUTH,2012-09-04 06:00:00.000000-08:103,2012-09-04 06:00:00.000000-08:103
LIV,LIVINGSTON,media/community_images/LIV.png,NORTH,2012-09-04 06:00:00.000000-08:104,2012-09-04 06:00:00.000000-08:104
LKB,LAKE BONAVISTA,media/community_images/LKB.png,SOUTH,2012-09-04 06:00:00.000000-08:105,2012-09-04 06:00:00.000000-08:105
LKV,LAKEVIEW,media/community_images/LKV.png,WEST,2012-09-04 06:00:00.000000-08:106,2012-09-04 06:00:00.000000-08:106
LMR,LOWER MOUNT ROYAL,media/community_images/LMR.png,CENTRE,2012-09-04 06:00:00.000000-08:107,2012-09-04 06:00:00.000000-08:107
LPK,LINCOLN PARK,media/community_images/LPK.png,WEST,2012-09-04 06:00:00.000000-08:108,2012-09-04 06:00:00.000000-08:108
MAC,MACEWAN GLEN,media/community_images/MAC.png,NORTH,2012-09-04 06:00:00.000000-08:109,2012-09-04 06:00:00.000000-08:109
MAF,MAYFAIR,media/community_images/MAF.png,CENTRE,2012-09-04 06:00:00.000000-08:110,2012-09-04 06:00:00.000000-08:110
MAH,MAHOGANY,media/community_images/MAH.png,SOUTHEAST,2012-09-04 06:00:00.000000-08:111,2012-09-04 06:00:00.000000-08:111
MAL,MAYLAND HEIGHTS,media/community_images/MAL.png,NORTHEAST,2012-09-04 06:00:00.000000-08:112,2012-09-04 06:00:00.000000-08:112
MAN,MANCHESTER,media/community_images/MAN.png,CENTRE,2012-09-04 06:00:00.000000-08:113,2012-09-04 06:00:00.000000-08:113
MCK,MCKENZIE LAKE,media/community_images/MCK.png,SOUTHEAST,2012-09-04 06:00:00.000000-08:114,2012-09-04 06:00:00.000000-08:114
MCT,MCKENZIE TOWNE,,SOUTHEAST,2012-09-04 06:00:00.000000-08:115,2012-09-04 06:00:00.000000-08:115
MDH,MEDICINE HILL,media/community_images/MDH.png,WEST,2012-09-04 06:00:00.000000-08:116,2012-09-04 06:00:00.000000-08:116
MEA,MEADOWLARK PARK,media/community_images/MEA.png,CENTRE,2012-09-04 06:00:00.000000-08:117,2012-09-04 06:00:00.000000-08:117
MID,MIDNAPORE,media/community_images/MID.png,SOUTH,2012-09-04 06:00:00.000000-08:118,2012-09-04 06:00:00.000000-08:118
MIS,MISSION,media/community_images/MIS.png,CENTRE,2012-09-04 06:00:00.000000-08:119,2012-09-04 06:00:00.000000-08:119
MLR,MILLRISE,media/community_images/MLR.png,SOUTH,2012-09-04 06:00:00.000000-08:120,2012-09-04 06:00:00.000000-08:120
MON,MONTGOMERY,media/community_images/MON.png,NORTHWEST,2012-09-04 06:00:00.000000-08:121,2012-09-04 06:00:00.000000-08:121
MOP,MOUNT PLEASANT,media/community_images/MOP.png,CENTRE,2012-09-04 06:00:00.000000-08:122,2012-09-04 06:00:00.000000-08:122
MOR,MONTEREY PARK,media/community_images/MOR.png,NORTHEAST,2012-09-04 06:00:00.000000-08:123,2012-09-04 06:00:00.000000-08:123
MPK,MARLBOROUGH PARK,,NORTHEAST,2012-09-04 06:00:00.000000-08:124,2012-09-04 06:00:00.000000-08:124
MPL,MAPLE RIDGE,media/community_images/MPL.png,SOUTH,2012-09-04 06:00:00.000000-08:125,2012-09-04 06:00:00.000000-08:125
MRL,MARLBOROUGH,media/community_images/MRL.png,NORTHEAST,2012-09-04 06:00:00.000000-08:126,2012-09-04 06:00:00.000000-08:126
MRT,MARTINDALE,media/community_images/MRT.png,NORTHEAST,2012-09-04 06:00:00.000000-08:127,2012-09-04 06:00:00.000000-08:127
NEB,NEW BRIGHTON,media/community_images/NEB.png,SOUTHEAST,2012-09-04 06:00:00.000000-08:128,2012-09-04 06:00:00.000000-08:128
NGM,NORTH GLENMORE PARK,media/community_images/NGM.png,WEST,2012-09-04 06:00:00.000000-08:129,2012-09-04 06:00:00.000000-08:129
NHU,NORTH HAVEN UPPER,,NORTH,2012-09-04 06:00:00.000000-08:130,2012-09-04 06:00:00.000000-08:130
NHV,NORTH HAVEN,media/community_images/NHV.png,NORTH,2012-09-04 06:00:00.000000-08:131,2012-09-04 06:00:00.000000-08:131
NOL,NOLAN HILL,media/community_images/NOL.png,NORTH,2012-09-04 06:00:00.000000-08:132,2012-09-04 06:00:00.000000-08:132
OAK,OAKRIDGE,media/community_images/OAK.png,SOUTH,2012-09-04 06:00:00.000000-08:133,2012-09-04 06:00:00.000000-08:133
OGD,OGDEN,media/community_images/OGD.png,SOUTHEAST,2012-09-04 06:00:00.000000-08:134,2012-09-04 06:00:00.000000-08:134
OPH,OSPREY HILL,,WEST,2012-09-04 06:00:00.000000-08:135,2012-09-04 06:00:00.000000-08:135
PAL,PALLISER,media/community_images/PAL.png,SOUTH,2012-09-04 06:00:00.000000-08:136,2012-09-04 06:00:00.000000-08:136
PAN,PANORAMA HILLS,media/community_images/PAN.png,NORTH,2012-09-04 06:00:00.000000-08:137,2012-09-04 06:00:00.000000-08:137
PAT,PATTERSON,media/community_images/PAT.png,WEST,2012-09-04 06:00:00.000000-08:138,2012-09-04 06:00:00.000000-08:138
PCK,PINE CREEK,media/community_images/PCK.png,SOUTH,2012-09-04 06:00:00.000000-08:139,2012-09-04 06:00:00.000000-08:139
PEN,PENBROOKE MEADOWS,media/community_images/PEN.png,EAST,2012-09-04 06:00:00.000000-08:140,2012-09-04 06:00:00.000000-08:140
PIN,PINERIDGE,media/community_images/PIN.png,NORTHEAST,2012-09-04 06:00:00.000000-08:141,2012-09-04 06:00:00.000000-08:141
PKD,PARKDALE,media/community_images/PKD.png,CENTRE,2012-09-04 06:00:00.000000-08:142,2012-09-04 06:00:00.000000-08:142
PKH,PARKHILL,media/community_images/PKH.png,CENTRE,2012-09-04 06:00:00.000000-08:143,2012-09-04 06:00:00.000000-08:143
PKL,PARKLAND,media/community_images/PKL.png,SOUTH,2012-09-04 06:00:00.000000-08:144,2012-09-04 06:00:00.000000-08:144
POI,POINT MCKAY,media/community_images/POI.png,CENTRE,2012-09-04 06:00:00.000000-08:145,2012-09-04 06:00:00.000000-08:145
PUM,PUMP HILL,media/community_images/PUM.png,SOUTH,2012-09-04 06:00:00.000000-08:146,2012-09-04 06:00:00.000000-08:146
QLD,QUEENSLAND,media/community_images/QLD.png,SOUTH,2012-09-04 06:00:00.000000-08:147,2012-09-04 06:00:00.000000-08:147
QPK,QUEENS PARK VILLAGE,,CENTRE,2012-09-04 06:00:00.000000-08:148,2012-09-04 06:00:00.000000-08:148
RAM,RAMSAY,media/community_images/RAM.png,CENTRE,2012-09-04 06:00:00.000000-08:149,2012-09-04 06:00:00.000000-08:149
RAN,RANCHLANDS,media/community_images/RAN.png,NORTHWEST,2012-09-04 06:00:00.000000-08:150,2012-09-04 06:00:00.000000-08:150
RCK,ROSSCARROCK,media/community_images/RCK.png,WEST,2012-09-04 06:00:00.000000-08:151,2012-09-04 06:00:00.000000-08:151
RDL,ROSEDALE,media/community_images/RDL.png,CENTRE,2012-09-04 06:00:00.000000-08:152,2012-09-04 06:00:00.000000-08:152
RED,RED CARPET,media/community_images/RED.png,EAST,2012-09-04 06:00:00.000000-08:153,2012-09-04 06:00:00.000000-08:153
REN,RENFREW,media/community_images/REN.png,CENTRE,2012-09-04 06:00:00.000000-08:154,2012-09-04 06:00:00.000000-08:154
RIC,RICHMOND,media/community_images/RIC.png,CENTRE,2012-09-04 06:00:00.000000-08:155,2012-09-04 06:00:00.000000-08:155
RID,RIDEAU PARK,media/community_images/RID.png,CENTRE,2012-09-04 06:00:00.000000-08:156,2012-09-04 06:00:00.000000-08:156
RIV,RIVERBEND,media/community_images/RIV.png,SOUTHEAST,2012-09-04 06:00:00.000000-08:157,2012-09-04 06:00:00.000000-08:157
RMT,ROSEMONT,media/community_images/RMT.png,CENTRE,2012-09-04 06:00:00.000000-08:158,2012-09-04 06:00:00.000000-08:158
ROC,ROCKY RIDGE,media/community_images/ROC.png,NORTHWEST,2012-09-04 06:00:00.000000-08:159,2012-09-04 06:00:00.000000-08:159
ROX,ROXBORO,media/community_images/ROX.png,CENTRE,2012-09-04 06:00:00.000000-08:160,2012-09-04 06:00:00.000000-08:160
ROY,ROYAL OAK,media/community_images/ROY.png,NORTHWEST,2012-09-04 06:00:00.000000-08:161,2012-09-04 06:00:00.000000-08:161
RSN,REDSTONE,media/community_images/RSN.png,NORTHEAST,2012-09-04 06:00:00.000000-08:162,2012-09-04 06:00:00.000000-08:162
RUN,RUNDLE,media/community_images/RUN.png,NORTHEAST,2012-09-04 06:00:00.000000-08:163,2012-09-04 06:00:00.000000-08:163
RUT,RUTLAND PARK,media/community_images/RUT.png,WEST,2012-09-04 06:00:00.000000-08:164,2012-09-04 06:00:00.000000-08:164
RVW,RANGEVIEW,,SOUTHEAST,2012-09-04 06:00:00.000000-08:165,2012-09-04 06:00:00.000000-08:165
SAD,SADDLE RIDGE,media/community_images/SAD.png,NORTHEAST,2012-09-04 06:00:00.000000-08:166,2012-09-04 06:00:00.000000-08:166
SAN,SANDSTONE VALLEY,media/community_images/SAN.png,NORTH,2012-09-04 06:00:00.000000-08:167,2012-09-04 06:00:00.000000-08:167
SCA,SCARBORO,media/community_images/SCA.png,CENTRE,2012-09-04 06:00:00.000000-08:168,2012-09-04 06:00:00.000000-08:168
SCE,SCENIC ACRES,media/community_images/SCE.png,NORTHWEST,2012-09-04 06:00:00.000000-08:169,2012-09-04 06:00:00.000000-08:169
SDC,SUNDANCE,media/community_images/SDC.png,SOUTH,2012-09-04 06:00:00.000000-08:170,2012-09-04 06:00:00.000000-08:170
SET,SETON,media/community_images/SET.png,SOUTHEAST,2012-09-04 06:00:00.000000-08:171,2012-09-04 06:00:00.000000-08:171
SGH,SAGE HILL,media/community_images/SGH.png,NORTH,2012-09-04 06:00:00.000000-08:172,2012-09-04 06:00:00.000000-08:172
SHG,SHAGANAPPI,media/community_images/SHG.png,CENTRE,2012-09-04 06:00:00.000000-08:173,2012-09-04 06:00:00.000000-08:173
SHN,SHAWNESSY,media/community_images/SHN.png,SOUTH,2012-09-04 06:00:00.000000-08:174,2012-09-04 06:00:00.000000-08:174
SHS,SHAWNEE SLOPES,media/community_images/SHS.png,SOUTH,2012-09-04 06:00:00.000000-08:175,2012-09-04 06:00:00.000000-08:175
SHW,SHERWOOD,media/community_images/SHW.png,NORTH,2012-09-04 06:00:00.000000-08:176,2012-09-04 06:00:00.000000-08:176
SIG,SIGNAL HILL,media/community_images/SIG.png,WEST,2012-09-04 06:00:00.000000-08:177,2012-09-04 06:00:00.000000-08:177
SIL,SILVER SPRINGS,media/community_images/SIL.png,NORTHWEST,2012-09-04 06:00:00.000000-08:178,2012-09-04 06:00:00.000000-08:178
SKR,SKYVIEW RANCH,media/community_images/SKR.png,NORTHEAST,2012-09-04 06:00:00.000000-08:179,2012-09-04 06:00:00.000000-08:179
SNA,SUNALTA,media/community_images/SNA.png,CENTRE,2012-09-04 06:00:00.000000-08:180,2012-09-04 06:00:00.000000-08:180
SOC,SOUTH CALGARY,media/community_images/SOC.png,CENTRE,2012-09-04 06:00:00.000000-08:181,2012-09-04 06:00:00.000000-08:181
SOM,SOMERSET,media/community_images/SOM.png,SOUTH,2012-09-04 06:00:00.000000-08:182,2012-09-04 06:00:00.000000-08:182
SOV,SOUTHVIEW,media/community_images/SOV.png,EAST,2012-09-04 06:00:00.000000-08:183,2012-09-04 06:00:00.000000-08:183
SOW,SOUTHWOOD,media/community_images/SOW.png,SOUTH,2012-09-04 06:00:00.000000-08:184,2012-09-04 06:00:00.000000-08:184
SPH,SPRINGBANK HILL,media/community_images/SPH.png,WEST,2012-09-04 06:00:00.000000-08:185,2012-09-04 06:00:00.000000-08:185
SPR,SPRUCE CLIFF,media/community_images/SPR.png,WEST,2012-09-04 06:00:00.000000-08:186,2012-09-04 06:00:00.000000-08:186
SSD,SUNNYSIDE,media/community_images/SSD.png,CENTRE,2012-09-04 06:00:00.000000-08:187,2012-09-04 06:00:00.000000-08:187
SSW,SCARBORO/ SUNALTA WEST,,CENTRE,2012-09-04 06:00:00.000000-08:188,2012-09-04 06:00:00.000000-08:188
STA,ST. ANDREWS HEIGHTS,media/community_images/STA.png,CENTRE,2012-09-04 06:00:00.000000-08:189,2012-09-04 06:00:00.000000-08:189
STR,STRATHCONA PARK,media/community_images/STR.png,WEST,2012-09-04 06:00:00.000000-08:190,2012-09-04 06:00:00.000000-08:190
SVO,SILVERADO,media/community_images/SVO.png,SOUTH,2012-09-04 06:00:00.000000-08:191,2012-09-04 06:00:00.000000-08:191
SVR,SYMONS VALLEY RANCH,,NORTH,2012-09-04 06:00:00.000000-08:192,2012-09-04 06:00:00.000000-08:192
TAR,TARADALE,media/community_images/TAR.png,NORTHEAST,2012-09-04 06:00:00.000000-08:193,2012-09-04 06:00:00.000000-08:193
TEM,TEMPLE,media/community_images/TEM.png,NORTHEAST,2012-09-04 06:00:00.000000-08:194,2012-09-04 06:00:00.000000-08:194
THO,THORNCLIFFE,media/community_images/THO.png,NORTH,2012-09-04 06:00:00.000000-08:195,2012-09-04 06:00:00.000000-08:195
THS,TWINHILLS,,EAST,2012-09-04 06:00:00.000000-08:196,2012-09-04 06:00:00.000000-08:196
TUS,TUSCANY,media/community_images/TUS.png,NORTHWEST,2012-09-04 06:00:00.000000-08:197,2012-09-04 06:00:00.000000-08:197
